,Producto,Comentarios,Precio,Tipo de envio,Descuento,Precio anterior
104,Consola nintendo switch lite turquesa,(22),"$3,999 MXN -26%",Normal,-26%,"$5,449"
105,Nsw kirby and the forgotten land,(2),"$1,099 MXN -23%",Normal,-23%,"$1,439"
106,Luigi's mansion 3 - nintendo switch,(7),"$1,099 MXN -23%",Normal,-23%,"$1,439"
107,Microsoft xbox series s 1tb negro,,"$7,659 MXN -23%",Normal,-23%,"$9,999"
108,Consola xbox series x 1 tb negro,(14),"$10,689 MXN -43%",Normal,-43%,"$18,999"
109,Consola microsoft xbox series s consola digital para juegos 512 gb blanco,,"$5,699 MXN -28%",Express,-28%,"$7,999"
110,Bundle control pdp alámbrico para xbox neon carbón + xbox game pass ultimate (1 mes),(4),$551 MXN -35%,Normal,-35%,$849
111,Kit de carga para xbox one / series x/s,(2),$549 MXN -15%,Normal,-15%,$649
112,Nintendo switch kirby and the forgotten land,(2),"$1,099 MXN -23%",Normal,-23%,"$1,439"
113,Control ps5 dualsense inalámbrico galactic purple,(8),"$1,189 MXN -30%",Normal,-30%,"$1,699"
114,Consola nintendo switch oled edición mario red 64 gb,,"$6,499 MXN -27%",Normal,-27%,"$8,999"
115,Valve steam deck 256gb negro,,"$11,599 MXN -31%",Express,-31%,"$16,999"
116,Control xbox series x inalámbrico blanco (compatible con xbox one),(49),"$1,199 MXN -20%",Normal,-20%,"$1,499"
117,Control inalámbrico xbox series x s one robot bluetooth neg,(3),"$1,089 MXN -35%",Normal,-35%,"$1,699"
118,Consola tablero aion doble mb all stars s2 juegos arcade 3d multijugador conexion  wifi hdmi usb,,"$2,359 MXN ",Normal,,"$2,618.49"
119,Consola nintendo switch oled neon,(7),"$6,999 MXN -25%",Normal,-25%,"$9,399"
120,Ps5 gta v,(4),$899 MXN -10%,Normal,-10%,$999
121,Headset xbox one wireless negro,(24),"$2,069 MXN -10%",Normal,-10%,"$2,299"
122,Nintendo switch oled mario 64gb mÁs audifonos,,"$7,249 MXN ",Normal,,"$7,999"
123,"Silla gamer con respaldo ergonómico y asiento reclibnable, cojin lumbar para computadora pc",,"$1,799 MXN -25%",Normal,-25%,"$2,399"
124,Consola nintendo switch lite blue,(7),"$3,999 MXN -26%",Normal,-26%,"$5,449"
125,Consola tv gamebox player aion negro 3000juegos 3d c/2 controles 2gb ddr3 64gb android 9.1 hdmi ,,"$1,479 MXN ",Normal,,"$1,641.69"
126,Consola nintendo switch oled blanca,(55),"$6,999 MXN -25%",Normal,-25%,"$9,399"
127,Consola ps5 digital bundle horizon,(11),"$11,969 MXN -10%",Normal,-10%,"$13,299"
128,Consola xbox series s de 1tb. color negro.,,"$7,599 MXN -13%",Normal,-13%,"$8,799"
129,Lentes Gunnar Ellipse Onix Ambar para computadora.,,"$2,918 MXN ",Normal,,
130,Lentes Gunnar FPS By Razer Onix Ambar para videojuegos.,,"$2,290 MXN -40%",Normal,-40%,"$3,818"
131,Joy-Con (L)/(R) - Pastel Purple/Pastel Green,,"$2,499 MXN -13%",Normal,-13%,"$2,899"
132,Control Alámbrico DUKE Verde Para Xbox One/Windows 10,,"$2,299 MXN ",Normal,,
133,Silla Gamer ergonómica MALLA roja,,"$4,235 MXN ",Normal,,
134,Consola Retron 77 Hyperkin Para atari 2600,,"$2,799 MXN ",Normal,,
135,Asiento de Carreras Negro Modelo Evolution Marca PLAYSEAT,,"$9,799 MXN ",Normal,,
136,Control Alámbrico DUKE Rojo Para Xbox One / Windows 10,,"$2,299 MXN ",Normal,,
137,Silla Ergonómica | Modelo Estándar,,"$5,290 MXN ",Normal,,
138,"Yeyian Silla Gamer Ryuji Snow Camouflage, hasta 150kg, Negro/Blanco",,"$4,642 MXN -12%",Normal,-12%,"$5,300"
139,Consola PlayStation 5 Estándar Edition + God of War Ragnarök,,"$18,800 MXN ",Normal,,
140,Webcam Logitech C505 Color negro.,,$899 MXN -12%,Normal,-12%,"$1,029"
